idTicket,tipoProblema,descripcion
5031b424-a26e-4515-a0ba-4eb40e8fd20c,2,Cliente no puede acceder a aplicación web
4a8f3498-5e47-4fbd-8069-ad133aaf9924,3,Actualización de Java en estaciones críticas
a86f9a77-f203-40fe-a4b0-301c578ecd38,8,Problema con firma digital en documentos
887563b2-1a18-46b4-8c6e-35f873468fe9,6,Error en sincronización de calendario Outlook
e6d62f36-f84a-467e-a834-cb62c97ba453,4,Reemplazo de teclado defectuoso
2f451709-5e67-4671-a44e-e4b3bf017dc1,8,Solicitud de aumento de almacenamiento en nube
8f38949d-d305-4f56-92ae-a72ad2837593,2,Problema con macro compleja de Excel
76b42fdc-d182-4379-98f6-d5ffe1990a28,4,Configuración de punto de acceso inalámbrico
670a66c6-3056-4fbd-b0ce-ef1d72bab58f,2,Error al imprimir desde aplicación contable
abbf2847-d161-4116-9a58-5313c311497d,2,Lentitud en aplicación ERP reportada
feac2319-b62a-414c-a0a6-73834804493c,2,Solución a problema de conexión con BD
0fcec766-424b-4b81-8924-d15502919b25,8,Solicitud de correos temporales
1119242d-09e5-4515-955a-5b04ce576d60,2,Error en generación de facturas electrónicas
35cf1bae-5ef0-4e8c-9c20-f3f763e5f59c,7,Restablecimiento de acceso a usuario
59fa7777-e35e-4f0e-a321-9406e4fbd279,8,Problema con certificado digital caducado
c5dd45c6-1573-4c10-8229-c54bebd57fa5,2,Cliente no puede visualizar archivos PDF
115ddbf3-7d5f-4640-bb70-99a52320218a,5,Actualización de sistema de respaldo
3463e799-e97d-450e-a847-d53e98a4c172,2,Error en integración con sistema de nómina
50270a06-7286-4822-b8ae-bc8558d0860f,4,Problema con reconocimiento de huella digital
509c59a7-8242-4d95-875f-77ac0f7bf71d,4,Configuración de servidor de impresión
7133b982-a43a-414a-b066-d420741ab374,8,Solicitud de software estadístico
676f4946-07a7-44b0-ba30-e80d1ed4e0f1,2,Error en cálculo de reporte financiero
d21605f5-2c3b-4868-a95d-f830559cba91,5,Migración de datos a nueva tabla
8a7f1598-dc19-44bf-9436-06d01cf13239,8,Problema con reconocimiento de voz
d6bf348a-ffe1-4a43-be3d-1d0c15d4d537,2,Error al exportar datos a CSV
ce6b4ac8-6a5a-40a8-9718-3d51209c43d2,4,Reparación de cableado de red
6a0c10c9-2868-4f26-aa9b-6f3c20857b1e,8,Solicitud de capacitación en ciberseguridad
241791aa-c0eb-48de-9dc6-fe34f717383f,2,Problema con actualización automática de Windows
